       0.000 	      100 	        1
  100000.000 	      100 	        1
  200000.000 	       98 	        2
  300000.000 	       96 	        2
  400000.000 	       88 	        3
  500000.000 	       82 	        3
  600000.000 	       76 	        3
  700000.000 	       70 	        4
  800000.000 	       67 	        4
  900000.000 	       66 	        4
 1000000.000 	       62 	        4
 1100000.000 	       61 	        4
 1200000.000 	       59 	        4
 1300000.000 	       58 	        4
 1400000.000 	       54 	        4
 1500000.000 	       55 	        4
 1600000.000 	       51 	        4
 1700000.000 	       51 	        5
 1800000.000 	       49 	        5
 1900000.000 	       48 	        6
 2000000.000 	       48 	        7
 2100000.000 	       45 	        9
 2200000.000 	       44 	        9
 2300000.000 	       43 	        9
 2400000.000 	       41 	        9
 2500000.000 	       40 	        9
 2600000.000 	       42 	        9
 2700000.000 	       41 	        9
 2800000.000 	       39 	        9
 2900000.000 	       39 	        9
 3000000.000 	       40 	        9
 3100000.000 	       39 	        9
 3200000.000 	       36 	        9
 3300000.000 	       35 	        9
 3400000.000 	       34 	        9
 3500000.000 	       35 	        9
 3600000.000 	       34 	        9
 3700000.000 	       34 	        9
 3800000.000 	       34 	        9
 3900000.000 	       35 	        9
 4000000.000 	       33 	        9
 4100000.000 	       32 	        9
 4200000.000 	       31 	        9
 4300000.000 	       32 	        9
 4400000.000 	       34 	        9
 4500000.000 	       32 	        9
 4600000.000 	       30 	        9
 4700000.000 	       31 	        9
 4800000.000 	       30 	        9
 4900000.000 	       31 	        9
 5000000.000 	       30 	        9
 5100000.000 	       30 	        9
 5200000.000 	       30 	        9
 5300000.000 	       29 	        9
 5400000.000 	       29 	        9
 5500000.000 	       29 	        9
 5600000.000 	       28 	        9
 5700000.000 	       28 	        9
 5800000.000 	       26 	       13
 5900000.000 	       26 	       13
 6000000.000 	       26 	       13
 6100000.000 	       25 	       14
 6200000.000 	       25 	       14
 6300000.000 	       25 	       14
 6400000.000 	       25 	       14
 6500000.000 	       24 	       14
 6600000.000 	       23 	       14
 6700000.000 	       23 	       14
 6800000.000 	       23 	       14
 6900000.000 	       23 	       14
 7000000.000 	       23 	       14
 7100000.000 	       22 	       14
 7200000.000 	       22 	       14
 7300000.000 	       22 	       14
 7400000.000 	       22 	       14
 7500000.000 	       22 	       14
 7600000.000 	       20 	       14
 7700000.000 	       20 	       14
 7800000.000 	       20 	       14
 7900000.000 	       20 	       14
 8000000.000 	       20 	       14
